Id,Predicted
0,neutral
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,joy
11,neutral
12,neutral
13,neutral
14,joy
15,neutral
16,neutral
17,neutral
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
23,joy
24,joy
25,neutral
26,neutral
27,joy
28,neutral
29,joy
30,joy
31,neutral
32,neutral
33,neutral
34,joy
35,joy
36,neutral
37,neutral
38,neutral
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,neutral
47,joy
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,neutral
57,joy
58,neutral
59,neutral
60,neutral
61,neutral
62,neutral
63,neutral
64,neutral
65,neutral
66,neutral
67,neutral
68,neutral
69,joy
70,neutral
71,neutral
72,neutral
73,joy
74,neutral
75,neutral
76,neutral
77,neutral
78,joy
79,joy
80,neutral
81,joy
82,neutral
83,joy
84,neutral
85,joy
86,neutral
87,joy
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,neutral
96,neutral
97,joy
98,neutral
99,neutral
100,neutral
101,neutral
102,neutral
103,neutral
104,joy
105,neutral
106,neutral
107,neutral
108,neutral
109,neutral
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,neutral
117,neutral
118,joy
119,joy
120,neutral
121,neutral
122,neutral
123,neutral
124,joy
125,joy
126,joy
127,joy
128,joy
129,joy
130,neutral
131,neutral
132,neutral
133,neutral
134,neutral
135,neutral
136,joy
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,neutral
144,neutral
145,neutral
146,neutral
147,neutral
148,neutral
149,neutral
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,joy
159,neutral
160,neutral
161,neutral
162,neutral
163,joy
164,neutral
165,joy
166,joy
167,neutral
168,neutral
169,neutral
170,joy
171,neutral
172,neutral
173,neutral
174,neutral
175,neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,neutral
205,joy
206,neutral
207,neutral
208,neutral
209,neutral
210,neutral
211,joy
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,joy
221,neutral
222,neutral
223,neutral
224,neutral
225,joy
226,neutral
227,neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,neutral
234,neutral
235,neutral
236,neutral
237,neutral
238,joy
239,neutral
240,neutral
241,neutral
242,neutral
243,neutral
244,neutral
245,joy
246,neutral
247,neutral
248,neutral
249,joy
250,joy
251,joy
252,joy
253,neutral
254,neutral
255,neutral
256,neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,joy
266,joy
267,neutral
268,neutral
269,neutral
270,neutral
271,neutral
272,neutral
273,neutral
274,joy
275,neutral
276,joy
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,joy
288,joy
289,joy
290,joy
291,neutral
292,neutral
293,neutral
294,joy
295,neutral
296,neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,neutral
306,neutral
307,neutral
308,joy
309,neutral
310,neutral
311,joy
312,neutral
313,neutral
314,neutral
315,neutral
316,joy
317,neutral
318,neutral
319,neutral
320,neutral
321,neutral
322,joy
323,neutral
324,joy
325,joy
326,neutral
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,neutral
341,neutral
342,neutral
343,neutral
344,joy
345,joy
346,joy
347,neutral
348,neutral
349,neutral
350,neutral
351,neutral
352,neutral
353,neutral
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,neutral
360,neutral
361,neutral
362,neutral
363,joy
364,neutral
365,neutral
366,neutral
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,joy
373,neutral
374,neutral
375,neutral
376,joy
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,neutral
385,neutral
386,neutral
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,neutral
393,neutral
394,neutral
395,neutral
396,neutral
397,neutral
398,joy
399,neutral
400,joy
401,joy
402,neutral
403,neutral
404,joy
405,neutral
406,neutral
407,neutral
408,neutral
409,neutral
410,neutral
411,neutral
412,joy
413,joy
414,neutral
415,neutral
416,neutral
417,neutral
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,neutral
424,neutral
425,neutral
426,joy
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,neutral
443,neutral
444,joy
445,neutral
446,neutral
447,neutral
448,neutral
449,joy
450,neutral
451,neutral
452,neutral
453,neutral
454,neutral
455,neutral
456,neutral
457,neutral
458,neutral
459,joy
460,joy
461,neutral
462,neutral
463,neutral
464,joy
465,neutral
466,neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,neutral
473,neutral
474,neutral
475,neutral
476,joy
477,joy
478,neutral
479,neutral
480,joy
481,neutral
482,neutral
483,neutral
484,joy
485,neutral
486,neutral
487,neutral
488,joy
489,neutral
490,neutral
491,joy
492,neutral
493,neutral
494,neutral
495,neutral
496,neutral
497,joy
498,joy
499,neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,neutral
506,neutral
507,neutral
508,neutral
509,neutral
510,joy
511,neutral
512,neutral
513,neutral
514,neutral
